protocol,dataset,ticker,price_mode,horizon,feature_set,model_type,model,seed,test_units,test_RMSE,test_MAE,test_MAPE,latest_RMSE,latest_MAE,latest_MAPE,RMSE_ratio_vs_latest,MAE_ratio_vs_latest,MAPE_ratio_vs_latest,passes_latest_rmse_gate,dataset_label
sampled-origin zero-shot foundation audit,etf_basket,SLV,raw_close,10,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,5.28896773840813,3.009072184562683,6.344556692459162,5.772038167686892,3.0705207784970603,6.276977461767169,0.9163085178502294,0.9799875661598828,1.010766205726182,1,ETF basket
sampled-origin zero-shot foundation audit,sp100_largecap,BK,raw_close,10,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,3.361322614216584,2.490648110707601,2.820786773153423,3.645911467819441,2.541249752044679,2.845976846127855,0.9219430158645444,0.9800878912840564,0.991148883375947,1,S&P 100 subset
sampled-origin zero-shot foundation audit,nasdaq_large_tech,AMD,raw_close,1,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,4.946388181164055,3.3440664609273267,1.9649206421274252,5.3195701794075605,3.5947912534077946,2.071179651020126,0.9298473399809406,0.9302533096343812,0.948696382353716,1,Nasdaq large-tech
full rolling-origin supervised audit,hang_seng_largecap,0267.HK,raw_close,10,ohlcv,patchtst,PatchTST-style,777.0,556,0.5654654974005182,0.4285689137822432,4.52715760468963,0.602172795459678,0.4649820302030165,4.806445716186308,0.9390419189708852,0.9216891964515816,0.941893006186226,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,dow30,KO,adjusted_close,5,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,1.244953923969075,0.9601875940958656,1.4558408088545511,1.321013842150475,1.0517058372497556,1.5874100815842396,0.9424230725261878,0.9129811398658648,0.9171170233476268,1,Dow 30
sampled-origin zero-shot foundation audit,hang_seng_largecap,0267.HK,adjusted_close,1,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,0.1905831546782697,0.1440078963836034,1.5582650895183647,0.2013256598229774,0.147596463561058,1.6006931988894464,0.9466411526769442,0.9756866317059818,0.9734939153858352,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,hang_seng_largecap,0941.HK,raw_close,5,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,1.626743880704116,1.3159117301305134,1.686618983571084,1.7175104730173394,1.3677078485488892,1.742945852924752,0.9471522335734212,0.962129252622678,0.9676829493818476,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,hang_seng_largecap,3690.HK,raw_close,10,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,8.993005614997358,7.333695729573567,6.012973694922376,9.44422392439806,7.614063024520873,6.184422265717165,0.9522228281526626,0.96317770235886,0.9722773505060932,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,sp100_largecap,GS,adjusted_close,10,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,33.73788801910407,24.78813298543294,3.9894711215834,35.31897665542161,26.569599787394207,4.230741684012695,0.955234019044693,0.9329509357981948,0.9429720412047328,1,S&P 100 subset
sampled-origin zero-shot foundation audit,hang_seng_largecap,1109.HK,adjusted_close,10,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,2.0689735498578385,1.5061959822972617,5.827889514315277,2.164409561702496,1.5690205494562786,6.0573145833993705,0.9559066761054278,0.9599593726284924,0.9621242935420832,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,hang_seng_largecap,0267.HK,raw_close,1,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,0.2086888708829805,0.1587016880512237,1.665255455932756,0.2182029263572976,0.1585416893164316,1.6557424360174011,0.9563981307072924,1.0010091902986649,1.005745470858521,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,etf_basket,GLD,adjusted_close,10,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,13.885902038873152,9.120107491811114,2.8670361142247978,14.51172618783215,9.884896596272789,3.0870800318478064,0.9568745894968896,0.9226305407433352,0.9287210194251754,1,ETF basket
sampled-origin zero-shot foundation audit,hang_seng_largecap,0992.HK,raw_close,10,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,0.8817229677084212,0.6395679612954457,6.4247962777037175,0.9207792204015426,0.6876041740179062,6.850818843170463,0.957583477311652,0.93013973076724,0.9378143583680592,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,etf_basket,SLV,raw_close,5,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,3.856647969943342,1.8434964219729104,3.748659573014704,4.014604301536133,1.894687394301097,3.871930235751237,0.9606545702319028,0.972981837277136,0.9681629948808682,1,ETF basket
