protocol,dataset,ticker,price_mode,horizon,feature_set,model_type,model,seed,test_units,test_RMSE,test_MAE,test_MAPE,latest_RMSE,latest_MAE,latest_MAPE,RMSE_ratio_vs_latest,MAE_ratio_vs_latest,MAPE_ratio_vs_latest,passes_latest_rmse_gate,dataset_label
full rolling-origin supervised audit,dow30,MMM,raw_close,1,ohlcv,lstm,LSTM,42.0,570,4.880279232087268,3.554947073417797,2.775465043013164,2.574770196889963,1.691688336824116,1.249251390183108,1.895423225724029,2.1014196267922864,2.2217025851028693,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,ohlcv,lstm,LSTM,123.0,570,4.028503027113674,2.828450842070998,2.128392686151276,2.574770196889963,1.691688336824116,1.249251390183108,1.564606826651815,1.6719692277248763,1.703734494815578,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,ohlcv,lstm,LSTM,777.0,570,4.71267172693517,3.3497339081345943,2.5937026766612483,2.574770196889963,1.691688336824116,1.249251390183108,1.830327123029292,1.9801129056804887,2.076205555617656,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,ohlcv,gru,GRU,42.0,570,4.089779756157028,2.925790726511102,2.249950880735005,2.574770196889963,1.691688336824116,1.249251390183108,1.5884057385381531,1.729509309027822,1.8010393251635453,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,ohlcv,gru,GRU,123.0,570,4.166048039759168,2.989276564748664,2.3068518324493383,2.574770196889963,1.691688336824116,1.249251390183108,1.6180271329811462,1.7670374026226188,1.846587364702643,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,ohlcv,gru,GRU,777.0,570,3.9157335478730304,2.794673544900459,2.1494732774571896,2.574770196889963,1.691688336824116,1.249251390183108,1.5208089454362963,1.6520026083214758,1.7206090738407205,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,ohlcv,dlinear,DLinear,42.0,570,5.317108004558262,4.1465805990654125,3.40699258718744,2.574770196889963,1.691688336824116,1.249251390183108,2.065080608351277,2.4511492506060413,2.727227373097469,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,ohlcv,dlinear,DLinear,123.0,570,4.674455668962137,3.553978635553728,2.800904113939777,2.574770196889963,1.691688336824116,1.249251390183108,1.8154846108628888,2.1008471585409016,2.2420660372683168,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,ohlcv,dlinear,DLinear,777.0,570,4.826982113597092,3.6602452328330592,2.836427967871777,2.574770196889963,1.691688336824116,1.249251390183108,1.8747234683031329,2.163664046833003,2.2705021504567067,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,technical,lstm,LSTM,42.0,563,6.313163816082671,4.708177163376478,3.6771282757601575,2.574770196889963,1.691688336824116,1.249251390183108,2.4519329234540126,2.783123262654488,2.943465426299174,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,technical,lstm,LSTM,123.0,563,3.671476162690469,2.5902112483131314,1.925346784653963,2.574770196889963,1.691688336824116,1.249251390183108,1.4259432422843812,1.5311397447923851,1.5412004339428886,0,Dow 30
