dataset_label,model,rows,passes,pass_rate,mean_rmse_ratio,median_rmse_ratio,median_ci_low,median_ci_high,q1_rmse_ratio,q3_rmse_ratio,min_rmse_ratio,p_wilcoxon_ratio_gt_1
Dow 30,Chronos-T5-small zero-shot,180,21,0.11666666666666667,1.0365223768018315,1.0362347844302375,1.032591500972619,1.040268282590692,1.013506117653776,1.0563272226997165,0.9424230725261878,1.5618521821722487e-25
Dow 30,DLinear,1080,0,0.0,3.9487327593168673,2.67110455989894,2.4710219905093247,2.8747014214644766,1.8256094146549322,4.668549953767914,1.0451932337769116,1.497515563991739e-178
Dow 30,GRU,1080,1,0.000925925925925926,4.486295337786842,2.3901088885378154,2.157401888637239,2.6275630507709775,1.3689824939166828,5.838571166880017,0.9923948135643672,1.5058646412250023e-178
Dow 30,LSTM,1080,2,0.001851851851851852,4.989486772647423,2.7938529841654556,2.5054884624538705,3.0876194906479006,1.5816698153011282,6.796161262270362,0.983914408501051,1.5100565978189032e-178
Dow 30,PatchTST-style,1080,0,0.0,6.08151991046253,4.078310042513765,3.7638771403001,4.506477257983818,2.1863468225700107,7.926558628967145,1.0404135254409317,1.4975220656189812e-178
Dow 30,TimeMixer-style,1080,0,0.0,3.121538062339871,2.3244844657745536,2.220686949226957,2.4527532945628225,1.6336866625140218,3.705809634032972,1.0004531076360723,1.497515563991739e-178
Dow 30,iTransformer-style,1080,0,0.0,6.3172621806388705,4.160894832709181,3.8849219176676506,4.53208742733144,2.1216638240315815,8.28929167838503,1.0718083590181404,1.497515563991739e-178
ETF basket,Chronos-T5-small zero-shot,72,13,0.18055555555555555,1.0418584587668276,1.0318533675456338,1.0187546638215257,1.0464684040954788,1.0120219218904665,1.075557657864643,0.9163085178502294,2.4968100018995688e-09
ETF basket,DLinear,432,0,0.0,5.739668607167766,3.6755863091263983,3.0421108617282475,3.9986590160625948,1.9134199781868144,6.934731397054344,1.094997120128763,8.071767846532726e-73
ETF basket,GRU,432,1,0.0023148148148148147,5.383661153985724,4.36380457603895,3.934231111745539,4.702578520316031,1.8375519502251467,7.446047032775853,0.9921336690229322,8.24201523700563e-73
ETF basket,LSTM,432,0,0.0,6.192567411978745,5.233066850287628,4.931044116751519,5.756718196602508,2.1841832691923346,8.123409025262347,1.009999602051261,8.071767846532726e-73
ETF basket,PatchTST-style,432,0,0.0,6.828775162730086,5.552849484376874,5.144664241463746,6.020536693671657,2.839809940272761,8.85836042536986,1.102367917845647,8.07220610710046e-73
ETF basket,TimeMixer-style,432,0,0.0,3.921179657920042,3.038686929308467,2.8703302984703787,3.257421746959902,2.0756394316127653,5.014855622442503,1.077863877185563,8.071767846532726e-73
ETF basket,iTransformer-style,432,0,0.0,7.753269374473393,6.223629187413928,5.6795255764090005,6.789493592495115,3.2066899627770615,10.091583931545928,1.1663494563175594,8.071767846532726e-73
Hang Seng large-cap,Chronos-T5-small zero-shot,258,40,0.15503875968992248,1.0344911197491888,1.0329561091705943,1.0287980014309952,1.0381921093190298,1.0109185238758087,1.0557072625161354,0.9466411526769442,5.655723310072853e-32
Hang Seng large-cap,DLinear,1548,0,0.0,7.206148649387032,4.746875951905855,4.57249239111299,5.027666498622574,2.450523556858643,9.1488680110837,1.0360403661084183,7.562975549985033e-255
Hang Seng large-cap,GRU,1548,2,0.0012919896640826874,2.4631066900551613,1.40801767415953,1.3740710685134983,1.4424591134482316,1.1831971381025022,2.4144455911076323,0.9825850785947338,7.816427798667356e-255
Hang Seng large-cap,LSTM,1548,4,0.002583979328165375,2.890144841802778,1.6386253174119108,1.5921021824181971,1.6868851691906142,1.2933372581226257,3.117015463047416,0.9855024194447212,7.786174820344464e-255
Hang Seng large-cap,PatchTST-style,1548,3,0.001937984496124031,3.673492565172057,2.084947686591284,1.9962905845178633,2.2021035042629404,1.4861916856718214,4.139094686702405,0.9390419189708852,7.954093410228054e-255
Hang Seng large-cap,TimeMixer-style,1548,3,0.001937984496124031,3.4088327818186004,1.9700804630232767,1.8870013894397,2.0491942047329177,1.4422718565875297,3.6930030282923516,0.9858620548732776,7.726019387714899e-255
Hang Seng large-cap,iTransformer-style,1548,4,0.002583979328165375,3.552932110240728,1.9586116956008588,1.903125058924925,2.0883686272966524,1.372326967830444,4.031202035324446,0.9857561525751496,7.771092231481952e-255
Nasdaq large-tech,Chronos-T5-small zero-shot,180,19,0.10555555555555556,1.037853627342832,1.0350548742183883,1.030214893529666,1.041188434214103,1.0194097743344521,1.0535993510498873,0.9298473399809406,2.7185926559851457e-27
Nasdaq large-tech,DLinear,1080,0,0.0,3.2286292897481204,2.2910225167776614,2.191950564657536,2.386312003267962,1.622776134277373,4.001241883165963,1.0643553046340322,1.4974375466549487e-178
Nasdaq large-tech,GRU,1080,0,0.0,5.240526618107772,3.9955778779748243,3.8307433609785058,4.251946417018512,1.6439808031072844,6.915343301768523,1.0480482655779593,1.4974375466549487e-178
Nasdaq large-tech,LSTM,1080,0,0.0,5.760062987444251,4.572105581437149,4.325748629770339,4.891352008570549,1.8400768953601112,7.724197541665167,1.0911933473486957,1.4974375466549487e-178
Nasdaq large-tech,PatchTST-style,1080,0,0.0,6.721573829700535,5.108433718148881,4.953773944000819,5.335260916275959,2.7414649081049296,8.632430282725734,1.0699914035148983,1.4974830562765505e-178
Nasdaq large-tech,TimeMixer-style,1080,0,0.0,2.9560533279333616,2.4036112573768027,2.3412726609098504,2.505797095316398,1.7551219750646871,3.425174173158564,1.139568964731203,1.4974375466549487e-178
Nasdaq large-tech,iTransformer-style,1080,0,0.0,7.0341906867844965,5.364039096355735,5.1044031355961685,5.65974975790437,2.7830310327918415,9.792184402193566,1.0556244518260118,1.4974375466549487e-178
S&P 100 subset,Chronos-T5-small zero-shot,300,40,0.13333333333333333,1.0366336368433087,1.0361464626510424,1.031396144181002,1.040740297765253,1.017153281242604,1.0594399975840643,0.9219430158645444,4.290733269640538e-40
S&P 100 subset,DLinear,1800,0,0.0,4.780942168575848,3.000214885198985,2.866770089715989,3.180894115082045,1.936723441576695,5.842542307456764,1.0531259040656336,6.385166067658946e-296
S&P 100 subset,GRU,1800,1,0.0005555555555555556,4.19098497333326,2.412370382513087,2.24931312205735,2.5732158963696996,1.3747435932327738,5.640430042051929,0.9923907623005432,6.417186595987631e-296
S&P 100 subset,LSTM,1800,2,0.0011111111111111111,4.752566364586134,2.8682734880696343,2.707055074003406,3.112440374841269,1.582746168606513,6.794109226639617,0.983914408501051,6.417186595987631e-296
S&P 100 subset,PatchTST-style,1800,0,0.0,5.872961223141555,4.189315058504229,3.896588922025278,4.513832715182328,2.0520516057712124,7.515327842375227,1.0268536068125107,6.385215961129211e-296
S&P 100 subset,TimeMixer-style,1800,0,0.0,3.0886767024320494,2.3588534414231193,2.288458203478683,2.466225014438937,1.5876999175424853,3.828824420901299,1.0004531076360723,6.385166067658946e-296
S&P 100 subset,iTransformer-style,1800,0,0.0,6.134463597167532,4.2287468241794155,3.968071491185083,4.567544176641008,2.0422328767190208,7.975923333721482,1.0274231705940784,6.385166067658946e-296
