model,horizon,rows,passes,pass_rate,mean_rmse_ratio,median_rmse_ratio,median_ci_low,median_ci_high,q1_rmse_ratio,q3_rmse_ratio,min_rmse_ratio,p_wilcoxon_ratio_gt_1
Chronos-T5-small zero-shot,1,330,35,0.10606060606060606,1.043701548229625,1.041256724292325,1.036706377978775,1.0468275749979716,1.0230706415701738,1.0656900487204286,0.9298473399809406,8.217543580404014e-49
Chronos-T5-small zero-shot,5,330,41,0.12424242424242424,1.034431318642363,1.0335109069864976,1.0295977877231337,1.0375790961660796,1.0129335507850201,1.0531481473421798,0.9424230725261878,1.7988225723882994e-43
Chronos-T5-small zero-shot,10,330,57,0.17272727272727273,1.0318377080538736,1.029519523254136,1.0256613647169806,1.034486216430388,1.008983313705552,1.0509036141714967,0.9163085178502294,3.456813655246992e-37
DLinear,1,1980,0,0.0,8.128308328336711,5.412342240170478,5.255359239800648,5.734192632201839,3.155796049896389,10.56529867205682,1.5949141189935712,0.0
DLinear,5,1980,0,0.0,3.9542545613799,2.7333010771474076,2.6328795831519916,2.835197592538602,1.7806840770934023,4.85729844123561,1.0862731551002889,0.0
DLinear,10,1980,0,0.0,3.064862294108799,2.131572908762884,2.068370140747561,2.2227318574253205,1.535011537917915,3.7866004234903836,1.0360403661084183,0.0
GRU,1,1980,0,0.0,5.8555349082870665,2.7678547265988422,2.4684609815867136,3.1324458803231536,1.4624740299095156,9.049988617175721,1.0564662460644427,0.0
GRU,5,1980,2,0.00101010101010101,3.4340421572074407,2.038584508704284,1.929792401088341,2.1880876816532444,1.222651219212079,5.04707130472944,0.9825850785947338,0.0
GRU,10,1980,3,0.0015151515151515152,2.9262670956637105,2.028122325553963,1.9192809059222349,2.147276858243657,1.191637670886688,4.208112783713804,0.9921336690229322,0.0
LSTM,1,1980,0,0.0,6.538736647999247,3.1885674106353914,2.9452501812072422,3.5499446591666053,1.6987752866802952,10.285854367000553,1.1609755724815856,0.0
LSTM,5,1980,0,0.0,3.895891934841056,2.435951388170542,2.2845737483126953,2.657704717298638,1.360705656907426,5.9730346026614365,1.0376691412679253,0.0
LSTM,10,1980,8,0.00404040404040404,3.3599504748564484,2.3033802266597796,2.188370631371745,2.4827863969592023,1.321640563869726,5.044051035067994,0.983914408501051,0.0
PatchTST-style,1,1980,0,0.0,8.663546055024996,5.706403641268555,5.468021614051901,6.135446804044978,2.997657692694812,13.520292496613145,1.02062828006483,0.0
PatchTST-style,5,1980,0,0.0,4.491997870158948,3.2058695492504308,3.070321989422826,3.3738101473989146,1.9275693940530103,6.576866631179641,1.0068139094583417,0.0
PatchTST-style,10,1980,3,0.0015151515151515152,3.5289352678547683,2.644976401042779,2.4673913811896124,2.772558377383321,1.6341040056797778,5.073792040238146,0.9390419189708852,0.0
TimeMixer-style,1,1980,0,0.0,4.681436988354608,3.425478016964302,3.2421257623077238,3.602295070645723,2.063131555477508,6.186139255517389,1.2172958681894848,0.0
TimeMixer-style,5,1980,0,0.0,2.6918925150057063,2.1801680366480207,2.093840579164532,2.2382840122062206,1.481658413269237,3.2733915166081307,1.0633734053114738,0.0
TimeMixer-style,10,1980,3,0.0015151515151515152,2.270225811967681,1.9097828488950184,1.8403564413484037,1.968705532616215,1.3795009116855814,2.702539928840453,0.9858620548732776,0.0
iTransformer-style,1,1980,0,0.0,9.209909715819203,6.457566328889733,6.03247001382382,6.964548697900009,2.864000822398233,14.583771939315623,1.3094833920029345,0.0
iTransformer-style,5,1980,2,0.00101010101010101,4.590825668631203,3.3543484992117696,3.082482090054233,3.5141901978702514,1.6361492836155411,6.995856155015913,0.9857561525751496,0.0
iTransformer-style,10,1980,2,0.00101010101010101,3.528029690369768,2.5722845302226998,2.424982756996883,2.7995656554317048,1.4223379211010545,5.135962235672531,0.9896635928293772,0.0
