protocol,dataset,ticker,price_mode,horizon,feature_set,model_type,model,seed,test_units,test_RMSE,test_MAE,test_MAPE,latest_RMSE,latest_MAE,latest_MAPE,RMSE_ratio_vs_latest,MAE_ratio_vs_latest,MAPE_ratio_vs_latest,passes_latest_rmse_gate,dataset_label
full rolling-origin supervised audit,hang_seng_largecap,1044.HK,raw_close,1,ohlcv,timemixer,TimeMixer-style,42.0,558,32.20308887471156,30.25278594929685,127.32360384808356,0.3816048376809801,0.2797491661536651,1.1374158720800214,84.38857607364297,108.1425419966368,111.94111755733076,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1044.HK,raw_close,1,ohlcv,timemixer,TimeMixer-style,777.0,558,28.242094905677117,26.481444864717435,111.49325893791642,0.3816048376809801,0.2797491661536651,1.1374158720800214,74.00874443129408,94.6613898043624,98.02330148077311,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1876.HK,raw_close,1,technical,dlinear,DLinear,123.0,317,11.72953949031829,11.717450188537502,146.03028890130415,0.1632463480486227,0.1187036640850114,1.457664374128499,71.85177267686663,98.7117818043584,100.18100976681414,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1876.HK,raw_close,1,technical,dlinear,DLinear,777.0,317,11.287556418383154,11.275412834781202,140.53228832373892,0.1632463480486227,0.1187036640850114,1.457664374128499,69.14431197579484,94.9879089385661,96.4092220527511,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1044.HK,raw_close,1,ohlcv,timemixer,TimeMixer-style,123.0,558,25.93955067811786,24.28791556477974,102.19120681743004,0.3816048376809801,0.2797491661536651,1.1374158720800214,67.97489999275955,86.82033229524798,89.84506839222348,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1876.HK,adjusted_close,1,technical,dlinear,DLinear,123.0,317,9.797006834578248,9.784698904500775,123.68267892424228,0.1563795477040481,0.1150723077632762,1.4406833178112075,62.6489012049025,85.03087401905249,85.85001116841565,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1876.HK,adjusted_close,1,technical,dlinear,DLinear,777.0,317,9.397748420401845,9.383811195566077,118.6495040124535,0.1563795477040481,0.1150723077632762,1.4406833178112075,60.09576417363286,81.54708441991284,82.35640861915067,0,Hang Seng large-cap
full rolling-origin supervised audit,etf_basket,HYG,adjusted_close,1,ohlcv,dlinear,DLinear,777.0,570,12.252650995252166,11.770444307829203,15.6992596473462,0.2273328996157421,0.1595166122704221,0.2170857096490197,53.89739459604248,73.78820387606555,72.31825472403727,0,ETF basket
full rolling-origin supervised audit,hang_seng_largecap,0003.HK,raw_close,1,technical,dlinear,DLinear,777.0,551,3.912457280914459,3.869840487810748,59.826418832836936,0.0749193229093326,0.0567025121394878,0.8667717861161686,52.22227229214707,68.24813119903693,69.02211146131923,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1044.HK,adjusted_close,1,ohlcv,timemixer,TimeMixer-style,42.0,558,17.598970183511966,15.345968362678336,70.49270832232689,0.3503149511604527,0.258852292132634,1.1183713465933345,50.2375651544807,59.28465317515974,63.031575815183736,0,Hang Seng large-cap
full rolling-origin supervised audit,etf_basket,HYG,adjusted_close,1,ohlcv,dlinear,DLinear,123.0,570,10.657561244983505,10.220259576094778,13.626468710550183,0.2273328996157421,0.1595166122704221,0.2170857096490197,46.88085738139021,64.07018949705866,62.76999408473831,0,ETF basket
full rolling-origin supervised audit,hang_seng_largecap,1876.HK,raw_close,1,ohlcv,dlinear,DLinear,42.0,324,7.587131541433352,7.569356613688999,94.34079560396964,0.1632463480486227,0.1187036640850114,1.457664374128499,46.47657746789861,63.76683206904288,64.7205195368609,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1876.HK,adjusted_close,1,ohlcv,dlinear,DLinear,42.0,324,6.473374762092889,6.454272657264898,81.71436852821049,0.1563795477040481,0.1150723077632762,1.4406833178112075,41.395277433235066,56.08884346477575,56.719174518073125,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1044.HK,adjusted_close,1,ohlcv,timemixer,TimeMixer-style,777.0,558,14.452747859215846,12.53383780038485,57.62148067833025,0.3503149511604527,0.258852292132634,1.1183713465933345,41.25644027278796,48.420810560034,51.52267254865816,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,2269.HK,raw_close,1,ohlcv,dlinear,DLinear,42.0,438,38.4148872298132,37.28843854224845,182.97718165482937,0.9462859890197044,0.6621918591190147,2.631700487191169,40.59543063678743,56.310626639018615,69.52811786348913,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,2269.HK,adjusted_close,1,ohlcv,dlinear,DLinear,42.0,438,38.4148872298132,37.28843854224845,182.97718165482937,0.9462859890197044,0.6621918591190147,2.631700487191169,40.59543063678743,56.310626639018615,69.52811786348913,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1044.HK,adjusted_close,1,ohlcv,timemixer,TimeMixer-style,123.0,558,14.07482668752746,12.303828752169045,56.44990069337548,0.3503149511604527,0.258852292132634,1.1183713465933345,40.17763626960029,47.53223798329224,50.475095651661,0,Hang Seng large-cap
full rolling-origin supervised audit,sp100_largecap,BK,raw_close,1,ohlcv,dlinear,DLinear,777.0,570,47.64180761950737,41.31521635222853,43.58674714144816,1.2297736331107263,0.8572980378803454,0.9736731001650284,38.74030661967998,48.19236079716185,44.76527813499276,0,S&P 100 subset
full rolling-origin supervised audit,sp100_largecap,BK,raw_close,1,technical,dlinear,DLinear,123.0,563,46.62945051957279,40.807074944884064,43.12871422026624,1.2297736331107263,0.8572980378803454,0.9736731001650284,37.91710056559195,47.59963646455888,44.29486057790477,0,S&P 100 subset
full rolling-origin supervised audit,etf_basket,TLT,adjusted_close,1,ohlcv,dlinear,DLinear,42.0,570,25.78133036700969,25.65089510198225,30.022389002718093,0.6831546414714469,0.5361929240979646,0.6262515681754472,37.738644813243575,47.83892876828738,47.93982247451584,0,ETF basket
full rolling-origin supervised audit,hang_seng_largecap,1876.HK,raw_close,1,ohlcv,dlinear,DLinear,777.0,324,6.159449357345167,6.148565753006641,76.70838028092975,0.1632463480486227,0.1187036640850114,1.457664374128499,37.73100857062103,51.79760709495247,52.62417168341084,0,Hang Seng large-cap
full rolling-origin supervised audit,sp100_largecap,BK,raw_close,1,ohlcv,dlinear,DLinear,123.0,570,44.34599769720628,38.59158849214253,40.81239301371621,1.2297736331107263,0.8572980378803454,0.9736731001650284,36.06029313299926,45.01537013610759,41.91590895013829,0,S&P 100 subset
full rolling-origin supervised audit,hang_seng_largecap,1876.HK,raw_close,5,technical,dlinear,DLinear,123.0,316,11.70449076194137,11.692406794692896,145.6478970343982,0.3276740248454029,0.2459442637653173,3.0302255932944338,35.719922467041954,47.54088026159423,48.06503428546755,0,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,1113.HK,raw_close,1,ohlcv,dlinear,DLinear,777.0,538,20.031931293677697,19.29743946883758,57.078876836580015,0.5633211882116237,0.401282519656043,1.1128387289053938,35.56040801034502,48.08940963931913,51.2912386619791,0,Hang Seng large-cap
